player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Joe Mixon,11803,HB,CIN,20,359,53,14,20.1,295,0,1467,2,8,53,1089,44.2,36,72,7,2,125,83.2,79.2,67.7,69.5,37.3,63.7,82.1,56.4,32,1,421,60,391,407,0,0,68,419,14,1467,1089,3.03,4.1,1.08,224
Jonathan Taylor,57488,HB,IND,17,332,66,23,38.7,700,0,1811,3,9,66,1272,77.2,50,106,14,4,115,62.6,87.1,63.5,,31.2,62.5,90.0,55.5,83,1,360,40,292,381,0,0,48,372,18,1811,1272,3.83,5.5,1.23,210
Najee Harris,57121,HB,PIT,18,319,58,9,16.4,202,1,1229,7,35,58,944,69.7,28,62,25,1,118,90.0,69.6,72.4,,67.0,62.5,71.5,38.3,37,1,466,76,479,366,0,0,96,395,7,1229,944,2.96,3.9,0.97,185
Elijah Mitchell,57272,HB,SF,14,262,42,9,20.8,236,0,1132,0,6,42,901,57.3,31,57,28,0,90,91.2,76.8,55.2,,69.2,65.7,75.5,65.4,39,1,194,26,185,324,0,0,27,288,6,1132,901,3.44,4.3,1.05,172
Antonio Gibson,78050,HB,WAS,16,258,39,12,21.7,225,1,1035,4,8,39,728,44.2,24,65,32,6,70,33.2,63.3,29.2,,45.4,57.8,65.6,58.9,27,2,294,42,247,298,0,0,53,300,7,1035,728,2.82,4.0,1.19,182
Dalvin Cook,11796,HB,MIN,13,250,47,19,37.6,436,0,1159,5,7,47,682,51.9,36,56,18,3,59,74.0,65.8,86.4,,52.7,51.6,68.8,60.4,66,0,224,34,263,274,0,0,43,284,6,1159,682,2.73,4.6,0.85,175
Ezekiel Elliott,10638,HB,DAL,18,249,21,6,14.2,147,1,1033,2,7,21,670,25.4,24,59,9,1,100,85.6,69.3,68.9,60.1,40.2,55.3,76.6,52.5,47,1,287,48,448,294,0,0,67,297,10,1033,670,2.69,4.1,0.64,138
Alvin Kamara,11822,HB,NO,13,240,45,6,14.5,130,0,898,7,7,45,671,50.7,21,42,20,0,92,91.2,63.2,61.7,,12.3,65.8,65.9,57.0,30,1,439,47,271,311,0,0,65,287,4,898,671,2.8,3.7,1.62,134
Derrick Henry,10679,HB,TEN,9,239,36,9,26.4,264,0,999,0,3,36,784,49.8,20,54,31,1,106,84.0,77.3,43.8,70.7,54.4,68.5,74.9,71.9,76,1,154,18,128,261,0,0,20,257,11,999,784,3.28,4.2,1.2,133
Sony Michel,27589,HB,LA,21,234,40,9,21.2,196,0,925,2,7,40,642,50.0,22,52,26,1,84,83.5,63.1,60.6,,66.1,42.7,70.7,59.9,39,1,120,24,304,254,0,0,35,258,4,925,642,2.74,4.0,0.39,150
Josh Jacobs,45953,HB,LV,16,230,60,8,17.7,169,0,955,5,13,60,683,75.3,23,48,23,2,57,74.8,79.5,60.0,,75.3,63.0,82.8,47.8,35,1,392,58,329,274,0,0,69,288,9,955,683,2.97,4.2,1.19,168
Nick Chubb,45783,HB,CLV,14,228,57,17,36.1,454,0,1258,0,6,57,967,107.7,41,62,8,2,139,71.2,81.7,84.6,,80.5,63.7,80.6,59.3,70,0,174,20,185,250,0,0,25,248,8,1258,967,4.24,5.5,0.94,85
David Montgomery,45719,HB,CHI,13,225,38,7,19.1,162,0,849,2,9,38,569,44.5,21,55,6,1,52,83.7,69.8,89.5,37.2,76.6,69.2,67.7,68.6,41,0,301,42,289,258,0,0,49,267,7,849,569,2.53,3.8,1.04,167
Devin Singletary,40485,HB,BUF,19,214,51,14,31.4,307,0,977,4,10,51,650,71.0,22,55,4,5,101,39.0,69.0,67.4,,48.0,42.3,82.4,49.7,46,1,266,47,435,269,0,0,56,261,10,977,650,3.04,4.6,0.61,105
Damien Harris,35134,HB,NE,16,211,39,12,33.1,317,0,959,0,5,39,576,52.2,23,56,19,2,149,68.7,86.6,83.1,,49.7,69.9,84.7,60.3,64,0,139,19,120,250,0,0,21,230,15,959,576,2.73,4.5,1.16,44
James Conner,11860,HB,ARZ,16,206,40,7,19.2,148,0,771,0,12,40,576,59.6,16,56,1,2,66,69.4,81.9,90.6,,89.1,84.8,73.0,73.9,35,0,385,38,242,273,0,0,41,244,16,771,576,2.8,3.7,1.59,125
Austin Ekeler,12164,HB,LAC,16,206,37,9,18.1,165,0,911,5,16,37,621,57.9,22,53,27,4,85,50.1,75.3,89.7,,57.8,62.6,79.9,58.8,28,0,647,70,417,236,0,0,88,276,12,911,621,3.01,4.4,1.55,111
Melvin Gordon III,9448,HB,DEN,16,203,45,6,21.0,193,1,918,3,4,45,633,66.1,23,49,10,3,76,53.0,77.8,51.1,,41.4,52.9,83.4,60.0,70,1,213,28,247,218,0,0,34,231,8,918,633,3.12,4.5,0.86,124
Javonte Williams,77803,HB,DEN,17,203,63,9,25.2,228,0,903,4,8,63,694,98.7,25,53,10,2,95,69.7,75.9,87.5,,63.3,64.8,76.0,80.9,49,0,316,43,262,221,0,0,51,246,4,903,694,3.42,4.4,1.21,104
A.J. Dillon,57165,HB,GB,18,194,31,4,11.2,93,0,828,1,9,31,609,55.1,9,52,12,2,65,67.8,86.2,52.0,,57.7,64.8,89.7,48.5,36,1,313,34,207,218,0,0,37,228,6,828,609,3.14,4.3,1.51,126
Leonard Fournette,11759,HB,TB,15,193,30,7,19.6,169,0,863,7,13,30,600,49.3,17,50,30,1,131,83.0,75.1,88.0,60.0,56.3,64.8,80.0,43.4,47,0,510,78,404,222,0,0,92,271,10,863,600,3.11,4.5,1.26,60
Aaron Jones,11937,HB,GB,16,183,39,8,25.4,213,1,840,5,10,39,576,63.2,17,40,12,2,49,69.2,82.0,91.6,,67.5,72.6,83.1,78.0,57,1,520,61,342,206,0,0,74,244,4,840,576,3.15,4.6,1.52,130
Myles Gaskin,45914,HB,MIA,17,173,19,7,21.1,129,0,612,2,10,19,378,28.5,12,25,17,2,85,66.7,64.8,88.6,,50.5,70.6,63.4,41.7,30,0,234,49,288,187,0,0,62,222,3,612,378,2.18,3.5,0.81,82
Chuba Hubbard,57373,HB,CAR,17,172,22,7,22.1,135,0,612,5,6,22,452,37.4,13,36,5,1,69,78.1,64.9,49.4,,52.7,51.4,68.6,64.1,26,1,174,25,178,223,0,0,34,197,5,612,452,2.63,3.6,0.98,100
James Robinson,22425,HB,JAX,14,164,28,7,22.7,174,1,767,4,5,28,539,55.6,19,41,15,4,63,35.4,67.4,55.3,,53.0,41.8,77.1,67.3,58,1,222,31,261,201,0,0,44,195,8,767,539,3.29,4.7,0.85,99
Saquon Barkley,45791,HB,NYG,13,162,20,5,21.6,128,0,593,6,7,20,435,35.7,9,27,21,2,74,63.9,59.1,56.1,,34.3,49.2,65.7,53.2,41,1,263,41,257,192,0,0,57,203,2,593,435,2.69,3.7,1.02,81
Mark Ingram II,6180,HB,NO,14,160,24,2,9.4,52,0,554,1,8,24,450,48.1,9,23,20,1,81,77.0,67.6,84.8,,85.2,76.2,61.9,57.8,28,0,162,27,148,188,0,0,31,187,2,554,450,2.81,3.5,1.09,78
Cordarrelle Patterson,7810,HB,ATL,16,153,22,3,13.8,85,0,618,0,12,22,452,49.0,20,29,2,1,39,80.1,81.3,89.0,60.0,53.0,91.4,63.7,66.4,39,0,548,52,245,179,0,0,63,205,6,618,452,2.95,4.0,2.24,113
Jamaal Williams,11889,HB,DET,13,153,24,2,6.5,39,0,601,2,4,24,420,42.9,13,42,11,1,76,76.0,69.8,32.4,,70.4,68.0,68.4,59.6,20,1,157,26,115,168,0,0,28,179,3,601,420,2.75,3.9,1.37,71
Darrell Henderson,41193,HB,LA,13,153,19,8,20.3,141,0,695,3,4,19,381,31.0,20,39,26,0,42,90.3,69.3,89.7,,79.1,49.6,77.5,60.0,29,0,219,32,295,176,0,0,46,185,5,695,381,2.49,4.5,0.74,110
D'Andre Swift,57212,HB,DET,13,151,17,8,30.8,190,1,617,5,20,17,363,41.8,21,28,11,2,62,65.0,58.0,60.5,60.0,28.2,58.5,61.3,38.4,57,2,452,62,320,171,0,0,76,213,5,617,363,2.4,4.1,1.41,69
Jalen Hurts,40291,QB,PHI,16,97,18,4,10.1,83,0,401,0,0,11,177,20.7,30,57,24,10,22,72.2,77.1,78.7,69.2,,60.0,86.9,60.0,31,3,0,0,1,428,422,51,1,97,10,823,326,2.2,5.6,0.0,43
Michael Carter,57337,HB,NYJ,14,147,39,5,26.0,166,0,639,5,15,39,495,99.4,13,29,22,1,55,76.3,71.0,20.3,,42.7,58.9,77.3,60.3,55,2,325,36,220,170,0,0,50,183,4,639,495,3.37,4.3,1.48,89
Devontae Booker,10770,HB,NYG,16,145,12,6,22.1,131,0,593,3,6,12,374,25.1,14,31,21,0,84,90.3,65.0,54.8,,48.9,67.0,66.5,41.3,31,1,268,40,253,180,0,0,45,185,2,593,374,2.58,4.1,1.06,53
Darrel Williams,13014,HB,KC,19,145,10,2,7.1,40,0,562,1,11,10,318,24.0,13,41,16,1,52,90.4,66.8,90.0,,40.4,66.0,66.8,68.8,21,1,452,47,353,173,0,0,55,192,6,562,318,2.19,3.9,1.28,91
Miles Sanders,40555,HB,PHI,13,144,21,11,34.3,264,0,770,1,11,21,414,53.2,21,34,24,1,54,75.2,70.2,48.0,,47.3,66.0,71.4,63.0,38,1,170,29,203,191,0,0,35,173,0,770,414,2.88,5.3,0.84,88
Rhamondre Stevenson,98689,HB,NE,13,141,32,5,14.1,89,0,633,1,7,32,444,77.2,20,35,19,2,105,57.1,81.1,81.4,,50.3,61.8,81.4,54.8,21,0,156,18,94,169,0,0,21,159,5,633,444,3.15,4.5,1.66,24
Josh Allen,46601,QB,BUF,19,84,42,7,14.6,131,0,398,0,0,22,230,71.7,33,62,4,9,35,64.9,90.9,72.4,81.9,,89.8,93.6,60.3,34,4,0,0,2,432,499,55,0,84,6,897,499,3.59,6.5,0.0,12
Mike Davis,9559,HB,ATL,17,138,23,3,10.3,52,1,503,3,21,23,357,62.5,11,21,2,4,35,29.5,56.1,88.6,,43.2,48.5,61.3,57.6,18,1,259,44,313,168,0,0,55,182,3,503,357,2.59,3.6,0.83,103
D'Onta Foreman,11844,HB,TEN,10,137,23,6,26.4,167,1,632,1,3,23,429,55.8,13,24,31,2,38,72.9,72.1,22.6,,60.7,76.6,69.9,49.1,45,1,123,9,66,155,0,0,10,146,3,632,429,3.13,4.6,1.86,98
Alexander Mattison,45817,HB,MIN,16,134,28,4,21.4,105,0,491,2,10,28,374,63.9,10,28,18,1,27,71.4,61.0,84.7,,54.6,61.3,61.5,41.8,48,0,228,32,196,148,0,0,38,166,3,491,374,2.79,3.7,1.16,105
Tony Pollard,27126,HB,DAL,16,134,27,9,30.4,223,1,733,3,9,27,478,73.4,17,35,9,2,56,63.8,86.0,86.9,,50.3,64.9,90.3,74.7,58,1,349,41,184,162,0,0,46,175,2,733,478,3.57,5.5,1.9,69
Lamar Jackson,46416,QB,BLT,12,83,28,3,6.8,52,0,373,0,0,15,182,39.6,24,48,3,6,66,48.6,70.2,34.3,65.9,,,75.8,60.0,31,5,0,0,0,313,394,50,0,83,2,767,387,2.91,5.8,,1
Devonta Freeman,8738,HB,BLT,16,133,21,7,27.6,159,0,576,0,7,21,300,37.8,11,31,3,0,71,90.2,68.2,56.2,,52.8,59.1,74.5,45.6,32,1,190,34,282,182,0,0,38,167,5,576,300,2.26,4.3,0.67,55
Clyde Edwards-Helaire,57279,HB,KC,12,132,19,5,14.7,90,0,613,0,6,19,326,40.4,12,25,16,2,33,55.4,65.6,13.8,,49.3,65.4,66.5,59.8,22,2,142,21,194,146,0,0,26,153,4,613,326,2.47,4.6,0.73,98
Chase Edmonds,45851,HB,ARZ,13,124,16,6,27.1,168,0,620,1,7,16,341,37.9,19,34,1,1,34,73.8,66.6,90.8,,51.7,60.1,71.7,44.9,54,0,311,43,269,166,0,0,52,167,2,620,341,2.75,5.0,1.16,80
Rex Burkhead,7971,HB,HST,16,122,17,3,17.8,76,0,427,0,1,17,330,33.1,7,30,13,1,78,72.3,65.4,86.2,60.0,45.3,75.7,60.6,70.5,36,0,186,25,189,131,0,0,31,147,3,427,330,2.7,3.5,0.98,39
Latavius Murray,7962,HB,BLT,14,119,12,4,22.2,111,1,501,2,0,12,381,29.8,9,37,3,0,60,89.3,65.5,43.3,,48.5,44.5,72.8,68.7,46,2,75,10,154,172,0,0,13,129,6,501,381,3.2,4.2,0.49,58
Rashaad Penny,27414,HB,SEA,10,119,27,13,52.3,392,0,749,1,4,27,538,112.1,19,28,29,0,40,89.3,80.5,25.1,,71.0,49.5,83.7,60.2,62,1,48,6,98,133,0,0,7,125,6,749,538,4.52,6.3,0.49,78
Alex Collins,10805,HB,SEA,11,108,16,2,11.2,46,0,411,0,3,16,265,39.8,9,22,29,1,19,67.1,66.0,26.2,,69.0,50.1,70.6,42.8,25,1,87,9,107,120,0,0,9,117,2,411,265,2.45,3.8,0.81,88
Khalil Herbert,41668,HB,CHI,16,103,18,4,22.2,96,0,433,2,5,18,291,55.5,9,24,6,0,13,73.0,78.8,85.2,,61.5,54.6,84.4,63.9,29,1,96,14,141,126,0,0,16,117,2,433,291,2.83,4.2,0.68,86
Ronald Jones,34001,HB,TB,16,101,13,3,15.2,65,0,428,1,2,13,256,34.3,8,25,30,2,75,45.0,62.3,20.0,,12.4,55.3,67.6,60.0,30,1,64,10,92,109,0,0,12,111,4,428,256,2.53,4.2,0.7,23
D'Ernest Johnson,45734,HB,CLV,15,100,26,6,24.3,130,0,534,4,8,26,347,99.1,16,24,8,1,54,69.3,81.4,38.5,,80.1,42.7,90.6,61.0,30,1,137,19,152,124,0,0,24,119,3,534,347,3.47,5.3,0.9,38
Christian McCaffrey,11763,HB,CAR,7,99,16,6,21.3,94,0,442,0,8,16,297,52.9,15,19,5,1,45,70.4,80.6,84.7,,56.8,92.8,69.7,58.5,18,0,343,37,118,125,0,0,40,136,1,442,297,3.0,4.5,2.91,53
Zack Moss,40341,HB,BUF,14,97,18,1,4.9,17,0,345,2,5,18,226,44.7,5,22,4,2,39,46.8,66.8,86.0,,36.6,51.6,75.4,53.8,17,0,197,23,178,152,0,0,31,120,4,345,226,2.33,3.6,1.11,48
Kyler Murray,38334,QB,ARZ,15,59,3,3,20.7,89,0,198,0,0,2,46,2.6,14,26,1,13,4,49.0,82.9,55.8,86.7,,,49.2,61.4,57,4,7,0,0,376,231,31,0,59,5,429,89,0.99,4.8,,28
Phillip Lindsay,12660,HB,MIA,14,88,6,1,14.1,35,0,249,1,1,6,188,16.3,2,12,17,0,54,87.5,53.9,81.0,,36.5,52.7,56.6,44.5,35,0,45,4,42,100,0,0,5,92,1,249,188,2.14,2.8,1.07,32
Boston Scott,39462,HB,PHI,11,88,9,5,28.0,114,0,407,1,0,9,217,21.8,8,25,24,1,28,63.8,71.9,84.6,,52.4,62.5,72.7,59.8,34,0,84,14,87,122,0,0,16,102,8,407,217,2.47,4.6,0.97,59
Deebo Samuel,48274,WR,SF,19,86,28,7,36.7,184,0,502,12,27,28,353,130.5,14,24,28,4,42,39.8,90.2,80.1,62.3,60.1,87.8,85.3,55.0,49,1,1559,87,532,382,0,0,128,173,9,502,353,4.1,5.8,2.93,40
Jordan Howard,10784,HB,PHI,8,86,14,5,22.4,91,0,406,1,0,14,270,49.4,9,25,24,0,17,86.6,75.6,83.4,,44.3,46.6,77.0,70.7,25,0,26,3,57,100,0,0,4,89,3,406,270,3.14,4.7,0.46,69
Tevin Coleman,9506,HB,NYJ,11,84,17,6,28.9,103,0,356,1,0,17,290,61.8,10,20,22,0,35,88.3,74.1,83.1,,59.0,59.9,75.0,52.7,20,0,49,11,58,99,0,0,14,95,0,356,290,3.45,4.2,0.84,47
Patrick Mahomes,11765,QB,KC,20,18,4,0,0.0,0,0,-23,0,0,0,0,0.0,21,30,16,10,2,47.4,80.1,73.8,75.7,,59.1,84.0,60.5,34,5,0,0,1,435,521,61,0,18,3,498,179,2.27,6.3,0.0,0
Jeff Wilson Jr.,29413,HB,SF,10,79,7,2,11.2,33,0,294,0,0,7,223,23.0,6,19,28,1,19,60.0,60.8,25.4,,86.7,55.2,62.2,53.3,17,1,31,7,75,132,0,0,8,86,2,294,223,2.82,3.7,0.41,60
Kareem Hunt,11841,HB,CLV,8,78,21,5,29.3,113,0,386,1,4,21,269,86.2,12,22,8,0,46,87.2,74.4,83.9,,66.9,67.5,74.3,59.6,33,0,174,22,109,90,0,0,25,100,5,386,269,3.45,4.9,1.6,26
Trevor Lawrence,77632,QB,JAX,17,40,6,0,0.0,0,0,96,0,0,2,44,5.5,12,21,15,9,0,61.7,59.6,68.9,58.3,,,63.6,60.0,26,2,0,0,0,367,238,33,0,40,2,334,138,1.89,4.6,,25
Cam Akers,57206,HB,LA,5,72,10,1,8.6,15,0,175,1,2,10,166,33.3,2,6,26,2,14,31.3,43.7,82.1,,62.7,63.4,39.6,60.0,15,0,86,11,76,80,0,0,13,83,0,175,166,2.31,2.4,1.13,58
Justin Fields,82118,QB,CHI,12,27,11,0,0.0,0,0,53,0,0,3,22,9.1,14,22,6,12,2,27.0,64.2,36.9,60.8,,,72.3,61.5,23,4,0,0,0,256,367,45,0,27,2,420,268,3.72,5.8,,15
Carlos Hyde,8692,HB,JAX,12,72,11,2,13.0,33,1,253,2,1,11,174,34.5,4,14,15,2,30,32.9,53.8,87.1,,45.7,41.9,61.0,47.4,18,1,65,12,159,90,0,0,17,84,1,253,174,2.42,3.5,0.41,37
Duke Johnson Jr.,9510,HB,MIA,5,71,12,2,13.0,43,0,330,1,2,12,233,61.3,11,18,17,0,54,85.6,72.1,81.0,,85.6,53.2,73.7,41.4,27,0,41,4,55,82,0,0,5,75,3,330,233,3.28,4.6,0.75,16
Taysom Hill,12112,QB,NO,12,54,17,2,17.9,67,0,256,0,1,12,185,76.8,7,26,20,2,43,72.5,75.0,65.2,59.6,16.9,61.8,91.9,60.8,44,3,52,4,52,208,118,16,6,58,5,374,289,4.13,5.3,1.0,4
Kenneth Gainwell,77737,HB,PHI,17,69,13,2,12.1,36,0,297,5,2,13,204,41.4,7,19,24,1,19,45.2,72.0,88.5,,75.8,75.9,69.3,43.2,18,0,302,38,197,91,0,0,50,107,5,297,204,2.96,4.3,1.53,49
Jaret Patterson,77745,HB,WAS,15,68,11,0,0.0,0,0,266,0,0,11,177,36.7,6,15,32,1,18,56.9,62.4,82.0,,51.2,73.3,59.6,60.0,13,0,73,10,56,74,0,0,11,78,2,266,177,2.6,3.9,1.3,50
Justin Jackson,29539,HB,LAC,13,68,4,5,39.6,144,1,364,2,5,4,242,35.6,7,18,27,1,27,60.3,63.1,21.5,,23.4,64.5,66.9,60.0,75,2,178,22,124,78,0,0,24,90,2,364,242,3.56,5.4,1.44,41
David Johnson,9519,HB,HST,13,67,7,1,6.6,15,0,228,1,6,7,163,31.9,3,7,13,1,34,61.9,60.4,87.2,,34.4,70.6,56.3,54.9,15,0,225,32,176,80,0,0,39,99,0,228,163,2.43,3.4,1.28,28
Kenyan Drake,10707,HB,LV,12,63,10,2,15.4,39,0,254,1,9,10,162,52.5,5,15,23,0,21,64.3,73.1,84.8,,51.4,82.0,69.7,39.8,21,0,291,30,170,76,0,0,36,93,2,254,162,2.57,4.0,1.71,41
Justin Herbert,28237,QB,LAC,17,27,3,1,5.6,17,0,23,0,0,0,14,0.0,12,28,27,1,1,92.6,90.0,90.5,85.8,,90.8,79.1,60.0,36,2,0,0,1,395,279,36,0,27,3,302,140,2.22,4.8,0.0,3
Daniel Jones,39395,QB,NYG,11,39,6,2,20.5,61,0,149,0,0,4,61,15.6,8,16,21,7,5,51.1,71.1,72.2,70.6,72.2,92.6,57.4,60.2,46,3,16,1,4,229,149,23,1,40,2,298,97,1.56,4.8,4.0,14
Ty Johnson,45769,HB,NYJ,16,61,8,3,26.5,63,0,238,9,8,8,131,36.2,7,13,22,1,24,37.9,56.0,88.9,,38.1,50.5,62.8,53.9,24,0,372,34,256,84,0,0,53,95,2,238,131,2.15,3.9,1.45,35
Taylor Heinicke,9896,QB,WAS,16,18,4,0,0.0,0,0,27,0,0,0,9,0.0,12,20,32,7,0,61.8,59.4,56.4,58.9,,,59.3,60.0,38,4,-2,1,0,403,286,42,1,19,1,313,120,2.0,5.2,,4
Samaje Perine,11869,HB,CIN,19,58,8,3,34.3,85,1,248,3,3,8,224,47.7,7,11,7,0,17,85.5,60.1,40.5,,42.3,59.9,65.2,43.1,46,1,243,31,202,73,0,0,37,89,1,248,224,3.86,4.3,1.2,37
Ryan Tannehill,7014,QB,TEN,18,36,6,0,0.0,0,0,69,0,0,1,29,2.2,11,32,31,11,2,58.5,83.7,62.2,81.6,60.9,57.6,71.1,60.7,28,5,0,0,2,559,213,22,0,36,7,282,116,2.0,4.9,0.0,12
