,index,player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rzRecTarg,rzRecRec,rzRecTds,rzRecTargPct,rzRecRecPct,rzRecTdPct,ezRecTarg,ezRecTds,ezRecTargPct,ezRecRecPct,ezRecTdPct,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,tat,fumbles,rzRushCarries,rzRushTds,rzRushPct,rzRushTdPct,i5RushCarries,i5RushTds,i5RushPct,i5RushTdPct,patConversions,patAttempts,fantasyPts,ptsPerSnap,ptsPerTouch,FIN_W1,FIN_W2,FIN_W3,FIN_W4,FIN_W5,FIN_W6,FIN_W7,FIN_W8,FIN_W9,FIN_W10,FIN_W11,FIN_W12,FIN_W13,FIN_W14,FIN_W15,FIN_W16,FIN_W17,FIN_W18,SOS_W1,SOS_W2,SOS_W3,SOS_W4,SOS_W5,SOS_W6,SOS_W7,SOS_W8,SOS_W9,SOS_W10,SOS_W11,SOS_W12,SOS_W13,SOS_W14,SOS_W15,SOS_W16,SOS_W17,SOS_W18,ADP
0,12,Jonathan Taylor,IND,17,RB,48,40,1,360,1,2,1,3,83.3,-0.92,7.5,9.0,10.07,3,3,1,6.3,7.5,50.0,0,0,0.0,0.0,0.0,332,5,1811,10,18,2,5.45,3.83,66,0.2,4,89,14,26.8,77.8,30,12,9.0,66.7,0,1,377.1,0.49,1.01,17.6,6.3,8.2,20.4,31.9,28.8,20.0,21.2,34.0,24.6,53.4,19.7,26.3,,23.0,10.8,18.4,12.5,11.0,41.0,37.0,10.0,2.0,3.0,5.0,6.0,2.0,5.0,1.0,11.0,3.0,,2.0,24.0,15.0,22.0,1.0
1,119,Christian McCaffrey,CAR,7,RB,40,37,0,343,0,1,0,0,92.5,1.93,8.57,9.27,7.27,4,4,1,10.0,10.8,100.0,0,0,0.0,0.0,0.0,99,0,442,0,1,0,4.46,3.0,16,0.16,1,19,1,19.2,100.0,3,0,3.0,0.0,0,0,127.5,0.47,0.94,27.7,24.7,6.0,,,,,,14.6,26.1,24.9,3.5,,,,,,,1.0,3.0,44.0,,,,,,15.0,4.0,3.0,57.0,,,,,,,2.0
2,104,Austin Ekeler,LAC,16,RB,88,70,1,647,0,8,0,5,79.5,1.64,7.35,9.24,8.87,18,15,7,20.5,21.4,87.5,1,1,1.1,1.4,12.5,206,0,911,1,12,0,4.42,3.01,37,0.18,4,48,12,23.3,100.0,16,9,7.8,75.0,2,3,345.8,0.47,1.25,11.7,20.5,22.7,29.5,34.9,9.5,,24.4,11.2,14.9,41.5,21.9,21.4,16.4,18.2,,20.2,26.9,28.0,6.0,8.0,3.0,1.0,30.0,,3.0,25.0,19.0,2.0,6.0,8.0,13.0,5.0,,12.0,2.0,3.8
3,132,Derrick Henry,TEN,8,RB,20,18,0,154,0,0,0,0,90.0,-1.0,7.7,8.56,9.22,1,1,0,5.0,5.6,0.0,0,0,0.0,0.0,0.0,219,2,937,5,10,2,4.28,3.32,32,0.15,1,34,8,15.5,80.0,9,4,4.1,40.0,1,1,187.1,0.46,0.79,10.7,47.7,17.4,25.7,31.0,35.6,12.2,6.8,,,,,,,,,,,31.0,1.0,17.0,4.0,4.0,1.0,23.0,45.0,,,,,,,,,,,5.3
4,118,Dalvin Cook,MIN,13,RB,43,34,0,224,0,0,0,5,79.1,-1.79,5.21,6.59,8.44,2,1,0,4.7,2.9,0.0,0,0,0.0,0.0,0.0,250,1,1159,4,6,0,4.64,2.73,47,0.19,3,45,5,18.0,83.3,15,3,6.0,50.0,1,2,208.3,0.34,0.73,22.4,16.8,,6.4,,22.3,,7.8,15.2,20.8,20.5,16.3,,35.2,11.1,,4.3,9.2,6.0,14.0,,47.0,,8.0,,39.0,13.0,8.0,8.0,16.0,,1.0,23.0,,49.0,31.0,7.5
5,28,Najee Harris,PIT,17,RB,94,74,0,467,1,3,0,7,78.7,-0.21,4.97,6.31,6.81,15,9,3,16.0,12.2,100.0,1,0,1.1,0.0,0.0,307,0,1200,3,7,0,3.91,2.97,57,0.19,0,29,6,9.4,85.7,11,4,3.6,57.1,0,0,300.7,0.31,0.79,5.9,19.1,28.2,21.1,22.2,24.7,,21.0,16.8,17.3,16.9,6.7,15.7,25.4,4.6,16.0,29.6,9.5,46.0,8.0,1.0,6.0,11.0,5.0,,8.0,10.0,14.0,12.0,38.0,18.0,4.0,56.0,13.0,2.0,29.0,8.0
6,117,Joe Mixon,CIN,16,RB,47,42,3,314,0,3,1,1,89.4,-0.34,6.68,7.48,7.76,8,7,2,17.0,16.7,66.7,0,0,0.0,0.0,0.0,292,0,1205,3,13,0,4.13,3.09,41,0.14,2,42,12,14.4,92.3,15,7,5.1,53.8,0,2,289.9,0.42,0.87,25.0,8.1,10.4,13.7,10.5,26.3,11.9,25.1,28.0,,24.3,32.3,11.4,8.8,7.0,31.5,15.6,,2.0,35.0,30.0,23.0,34.0,4.0,24.0,2.0,4.0,,4.0,2.0,22.0,30.0,39.0,2.0,21.0,,10.3
7,116,Alvin Kamara,NO,13,RB,65,47,0,439,1,5,0,7,72.3,0.98,6.75,9.34,9.45,15,10,5,23.1,21.3,100.0,2,0,3.1,0.0,0.0,240,0,898,3,4,0,3.74,2.8,45,0.19,0,41,3,17.1,75.0,11,2,4.6,50.0,0,1,234.7,0.37,0.82,18.1,7.0,20.8,12.0,29.2,,33.9,16.6,20.4,,,,,24.5,5.1,7.9,21.0,18.2,10.0,37.0,10.0,26.0,5.0,,1.0,17.0,6.0,,,,,5.0,51.0,35.0,9.0,13.0,13.3
8,22,D'Andre Swift,DET,13,RB,76,62,2,452,0,2,2,5,81.6,0.03,5.95,7.29,8.16,10,5,0,13.2,8.1,0.0,1,0,1.3,0.0,0.0,151,1,617,2,5,1,4.09,2.4,17,0.11,2,20,4,13.2,80.0,6,2,4.0,40.0,0,0,210.9,0.38,0.99,24.4,11.8,23.7,8.9,22.4,17.7,28.4,10.1,,16.5,22.6,3.9,,,,,5.9,14.6,4.0,20.0,5.0,37.0,10.0,16.0,2.0,30.0,,16.0,5.0,50.0,,,,,40.0,18.0,15.5
9,107,Aaron Jones,GB,15,RB,64,52,0,391,0,6,0,4,81.3,0.81,6.11,7.52,8.0,15,12,6,23.4,23.1,100.0,2,1,3.1,1.9,16.7,171,1,799,1,4,0,4.67,3.18,39,0.23,2,33,4,19.3,100.0,8,4,4.7,100.0,0,0,231.0,0.4,1.04,4.2,41.5,17.6,12.9,14.9,21.0,8.9,24.0,5.3,12.6,,2.3,,21.5,15.0,13.7,15.6,,51.0,2.0,16.0,24.0,23.0,10.0,32.0,4.0,46.0,20.0,,62.0,,8.0,13.0,19.0,21.0,,19.5
10,51,Nick Chubb,CLV,14,RB,25,20,1,174,0,1,0,0,80.0,0.52,6.96,8.7,9.3,1,1,1,4.0,5.0,100.0,0,0,0.0,0.0,0.0,228,2,1258,5,8,2,5.52,4.24,57,0.25,2,41,5,18.0,62.5,11,4,4.8,50.0,0,0,217.2,0.45,0.88,24.0,16.8,8.4,11.5,24.0,,,7.9,30.3,,22.4,5.9,,9.5,16.3,27.4,5.8,7.0,5.0,14.0,36.0,28.0,9.0,,,37.0,3.0,,6.0,40.0,,28.0,9.0,5.0,41.0,42.0,20.0
11,50,Saquon Barkley,NYG,13,RB,57,41,1,263,0,2,1,6,71.9,0.51,4.61,6.41,7.32,6,2,1,10.5,4.9,50.0,2,1,3.5,2.4,50.0,162,1,593,1,2,0,3.66,2.69,20,0.12,2,12,2,7.4,100.0,3,1,1.9,50.0,0,0,150.6,0.29,0.74,3.7,8.9,21.4,29.6,0.9,,,,,,11.6,9.3,13.4,18.5,11.4,3.8,10.2,7.9,54.0,31.0,9.0,2.0,76.0,,,,,,19.0,30.0,20.0,11.0,22.0,51.0,28.0,38.0,20.3
12,120,Leonard Fournette,TB,14,RB,83,69,0,454,0,2,0,7,83.1,0.52,5.47,6.58,6.64,16,10,2,19.3,14.5,100.0,1,1,1.2,1.4,50.0,180,1,812,2,8,1,4.51,3.15,29,0.16,1,41,6,22.8,75.0,14,6,7.8,75.0,0,0,255.6,0.41,1.03,10.9,11.6,6.4,16.9,21.0,30.7,17.0,7.3,,17.2,13.4,44.1,22.2,23.2,13.7,,,,30.0,21.0,42.0,14.0,14.0,2.0,11.0,42.0,,15.0,16.0,1.0,5.0,6.0,15.0,,,,22.0
13,8,Javonte Williams,DEN,17,RB,51,43,1,316,0,3,0,4,84.3,-0.37,6.2,7.35,8.16,7,6,3,13.7,14.0,100.0,0,0,0.0,0.0,0.0,203,1,903,2,4,0,4.45,3.42,63,0.31,2,31,4,15.3,100.0,10,3,4.9,75.0,0,0,206.9,0.38,0.84,5.1,8.4,15.2,8.9,11.6,9.8,17.2,6.8,11.1,6.9,,20.1,29.8,21.3,12.1,10.0,4.2,8.4,49.0,34.0,21.0,37.0,29.0,29.0,10.0,45.0,26.0,40.0,,9.0,1.0,9.0,20.0,27.0,50.0,36.0,22.8
14,113,James Conner,ARZ,15,RB,39,37,1,380,0,3,1,0,94.9,0.13,9.74,10.27,10.62,4,4,1,10.3,10.8,33.3,0,0,0.0,0.0,0.0,202,0,752,0,15,0,3.72,2.81,40,0.2,2,42,15,20.8,100.0,18,10,8.9,66.7,0,0,258.2,0.43,1.08,5.3,2.6,18.3,20.6,10.7,8.1,12.4,14.2,40.3,15.9,20.9,,19.1,33.5,9.0,,,27.3,48.0,61.0,14.0,8.0,33.0,35.0,22.0,20.0,1.0,17.0,7.0,,12.0,2.0,30.0,,,1.0,29.3
15,133,Ezekiel Elliott,DAL,17,RB,63,47,0,287,0,2,0,2,74.6,0.7,4.56,6.11,6.43,15,10,2,23.8,21.3,100.0,2,0,3.2,0.0,0.0,237,1,1002,2,10,0,4.23,2.73,19,0.08,1,38,10,16.0,100.0,14,7,5.9,70.0,3,3,247.9,0.31,0.87,5.9,17.7,26.6,20.3,25.2,18.9,,11.3,10.6,20.6,12.8,16.9,6.7,7.0,16.2,17.2,4.0,10.0,46.0,10.0,3.0,11.0,8.0,14.0,,27.0,29.0,10.0,17.0,15.0,35.0,35.0,10.0,11.0,52.0,25.0,30.3
16,59,David Montgomery,CHI,13,RB,49,42,0,301,0,0,0,2,85.7,0.94,6.14,7.17,6.62,9,8,0,18.4,19.0,0.0,0,0,0.0,0.0,0.0,225,1,849,2,7,0,3.77,2.53,38,0.17,1,43,7,19.1,100.0,13,6,5.8,85.7,0,0,199.0,0.31,0.75,18.8,10.9,7.5,22.6,,,,,10.0,,7.7,10.4,28.1,14.1,13.3,23.6,22.1,9.9,8.0,23.0,39.0,5.0,,,,,33.0,,27.0,25.0,2.0,16.0,17.0,7.0,8.0,26.0,36.5
17,23,Cam Akers,LA,1,RB,3,3,0,10,0,0,0,0,100.0,2.0,3.33,3.33,1.33,1,1,0,33.3,33.3,0.0,0,0,0.0,0.0,0.0,5,0,3,0,0,0,0.6,2.0,1,0.2,0,2,0,40.0,0.0,0,0,0.0,0.0,0,0,4.3,0.33,0.54,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,58.0,39.8
18,39,Josh Jacobs,LV,15,RB,64,54,0,348,0,0,0,5,84.4,-0.66,5.44,6.44,7.59,8,4,0,12.5,7.4,0.0,0,0,0.0,0.0,0.0,217,0,872,2,9,0,4.02,2.84,57,0.26,2,38,9,17.5,100.0,13,7,6.0,77.8,0,0,230.0,0.37,0.85,17.0,,,10.7,16.7,15.2,15.8,,13.5,8.6,11.1,19.2,24.0,12.0,12.4,13.4,18.0,22.4,12.0,,,30.0,21.0,19.0,15.0,,17.0,34.0,20.0,12.0,4.0,23.0,19.0,20.0,16.0,5.0,49.5
19,21,Elijah Mitchell,SF,11,RB,20,19,0,137,0,1,0,0,95.0,-0.85,6.85,7.21,8.21,2,2,1,10.0,10.5,100.0,0,0,0.0,0.0,0.0,207,0,963,5,5,0,4.65,3.7,37,0.18,0,21,4,10.1,80.0,5,3,2.4,60.0,0,0,165.0,0.37,0.73,16.4,7.3,,,8.2,,16.7,19.7,12.9,9.1,,27.8,17.4,,,,21.0,8.5,13.0,36.0,,,39.0,,13.0,9.0,20.0,28.0,,3.0,14.0,,,,9.0,33.0,52.0
20,20,Clyde Edwards-Helaire,KC,10,RB,22,19,0,129,0,2,0,0,86.4,-2.55,5.86,6.79,9.16,2,2,2,9.1,10.5,100.0,0,0,0.0,0.0,0.0,119,0,517,2,4,0,4.34,2.39,15,0.13,2,14,4,11.8,100.0,3,3,2.5,75.0,1,2,119.6,0.35,0.87,10.2,4.6,18.9,19.4,3.4,,,,,,15.6,,11.2,19.2,7.0,10.1,,,32.0,49.0,12.0,12.0,57.0,,,,,,15.0,,23.0,10.0,39.0,25.0,,,64.0
21,7,Antonio Gibson,WAS,16,RB,53,42,1,294,0,3,1,4,79.2,-0.51,5.55,7.0,8.33,9,6,2,17.0,14.3,66.7,0,0,0.0,0.0,0.0,258,0,1035,2,7,0,4.01,2.82,39,0.15,6,47,7,18.2,100.0,17,6,6.6,85.7,1,2,234.9,0.39,0.78,13.8,9.3,17.4,15.5,21.2,6.4,7.6,8.4,,21.8,9.3,21.6,22.1,6.1,18.5,13.8,,22.1,21.0,30.0,17.0,20.0,13.0,39.0,34.0,36.0,,7.0,23.0,7.0,6.0,36.0,4.0,18.0,,6.0,64.8
22,25,A.J. Dillon,GB,17,RB,37,34,1,313,0,2,0,1,91.9,0.24,8.46,9.21,9.21,5,5,2,13.5,14.7,100.0,0,0,0.0,0.0,0.0,187,0,803,0,5,0,4.29,3.18,31,0.17,2,41,5,21.9,100.0,11,4,5.9,80.0,0,0,187.6,0.39,0.85,3.6,3.6,4.6,10.7,17.9,5.9,1.8,7.8,13.0,26.8,15.7,20.0,,7.1,10.5,8.6,22.3,7.7,55.0,55.0,49.0,30.0,19.0,41.0,56.0,39.0,19.0,3.0,14.0,10.0,,34.0,26.0,31.0,7.0,40.0,67.8
23,71,Devin Singletary,BUF,17,RB,49,40,0,228,0,1,0,4,81.6,-0.04,4.65,5.7,6.13,7,6,1,14.3,15.0,100.0,0,0,0.0,0.0,0.0,188,2,870,1,7,1,4.63,3.12,45,0.24,5,40,6,21.3,85.7,8,4,4.3,57.1,0,0,197.8,0.28,0.87,11.0,17.1,3.6,9.6,3.3,9.3,,3.9,12.9,11.9,7.3,5.8,3.6,14.9,16.6,18.8,23.0,25.2,29.0,13.0,53.0,35.0,59.0,31.0,,55.0,20.0,22.0,31.0,42.0,47.0,14.0,7.0,10.0,5.0,3.0,82.5
24,76,Damien Harris,NE,15,RB,20,18,0,132,0,0,0,0,90.0,-0.1,6.6,7.33,7.67,2,1,0,10.0,5.6,0.0,0,0,0.0,0.0,0.0,202,1,929,5,15,1,4.6,2.75,37,0.18,2,46,13,22.8,86.7,16,9,7.9,60.0,0,0,214.1,0.53,0.97,13.7,13.4,3.1,4.6,11.8,17.8,25.3,14.0,10.3,,7.5,12.2,17.1,,,28.3,17.7,17.3,22.0,17.0,56.0,50.0,28.0,15.0,3.0,21.0,31.0,,29.0,21.0,16.0,,,4.0,17.0,15.0,83.8
25,68,Miles Sanders,PHI,12,RB,32,26,0,158,0,0,0,1,81.3,-0.72,4.94,6.08,8.96,4,2,0,12.5,7.7,0.0,0,0,0.0,0.0,0.0,137,0,754,2,0,0,5.5,2.92,18,0.13,1,21,0,15.3,0.0,6,0,4.4,0.0,1,1,117.2,0.28,0.72,15.3,6.9,8.5,7.7,10.1,8.6,3.7,,,,9.4,7.4,17.2,,16.6,5.8,,,15.0,38.0,35.0,44.0,35.0,33.0,47.0,,,,22.0,35.0,15.0,,7.0,46.0,,,84.5
26,115,Kareem Hunt,CLV,8,RB,25,22,0,174,0,0,0,1,88.0,0.4,6.96,7.91,8.05,4,2,0,16.0,9.1,0.0,1,0,4.0,0.0,0.0,78,0,386,0,5,0,4.95,3.45,21,0.27,0,17,4,21.8,80.0,4,3,5.1,60.0,1,1,108.0,0.46,1.08,15.1,6.3,27.5,16.6,25.9,10.8,,,,,,2.0,,3.8,,,,,16.0,41.0,2.0,16.0,7.0,25.0,,,,,,64.0,,48.0,,,,,85.3
27,153,Cordarrelle Patterson,ATL,16,RB,63,52,2,548,1,5,1,0,82.5,4.06,8.7,10.54,7.29,13,11,5,20.6,21.2,100.0,3,1,4.8,1.9,20.0,153,0,618,1,6,0,4.04,2.95,22,0.14,1,33,6,21.6,100.0,7,2,4.6,33.3,0,0,234.6,0.5,1.14,8.7,23.9,16.2,34.6,18.4,,14.1,18.2,19.6,4.9,,27.5,12.6,13.9,4.3,8.3,7.2,2.2,36.0,4.0,19.0,1.0,16.0,,19.0,11.0,7.0,48.0,,4.0,21.0,17.0,57.0,33.0,36.0,66.0,85.8
28,89,Tony Pollard,DAL,15,RB,44,39,0,337,0,0,0,3,88.6,0.23,7.66,8.64,8.85,7,5,0,15.9,12.8,0.0,0,0,0.0,0.0,0.0,130,1,719,1,2,1,5.53,3.61,27,0.21,2,16,1,12.3,50.0,2,1,1.5,50.0,0,1,156.6,0.42,0.93,8.3,23.0,7.5,6.7,14.3,9.3,,3.7,5.3,15.8,9.0,10.8,15.4,,11.7,7.0,8.8,,39.0,5.0,39.0,45.0,25.0,31.0,,57.0,46.0,18.0,25.0,23.0,19.0,,21.0,43.0,32.0,,86.0
29,46,Chase Edmonds,ARZ,12,RB,51,43,0,311,0,0,0,1,84.3,0.18,6.1,7.23,7.88,8,6,0,15.7,14.0,0.0,0,0,0.0,0.0,0.0,116,2,592,1,2,0,5.1,2.77,15,0.13,1,20,2,17.2,100.0,5,1,4.3,50.0,0,0,145.3,0.31,0.91,14.6,12.5,14.5,17.9,6.4,8.0,10.0,15.9,0.3,,,,,,5.3,26.7,13.2,,18.0,19.0,25.0,13.0,45.0,36.0,27.0,19.0,72.0,,,,,,50.0,6.0,26.0,,86.8
30,87,Rashaad Penny,SEA,10,RB,7,6,0,48,0,0,0,1,85.7,-2.43,6.86,8.0,10.5,1,0,0,14.3,0.0,0.0,0,0,0.0,0.0,0.0,119,2,749,4,6,2,6.29,4.52,27,0.23,0,19,3,16.0,50.0,4,1,3.4,16.7,0,0,121.7,0.48,0.97,0.8,,,,,,0.9,0.7,,,1.9,,7.2,26.8,6.4,19.5,32.5,25.0,77.0,,,,,,66.0,76.0,,,59.0,,33.0,3.0,42.0,9.0,1.0,4.0,87.0
31,2,Rhamondre Stevenson,NE,12,RB,17,14,1,123,0,0,0,1,82.4,-0.41,7.24,8.79,10.36,3,1,0,17.6,7.1,0.0,0,0,0.0,0.0,0.0,133,0,606,2,5,0,4.56,3.26,31,0.23,2,25,5,18.8,100.0,6,4,4.5,80.0,0,0,116.9,0.44,0.8,2.1,,,,2.3,15.2,,4.1,12.6,27.4,8.5,4.6,7.8,,5.0,,22.7,4.6,65.0,,,,63.0,19.0,,53.0,22.0,2.0,26.0,45.0,31.0,,53.0,,6.0,54.0,100.0
32,141,Melvin Gordon III,DEN,16,RB,34,28,0,213,0,2,0,3,82.4,0.44,6.26,7.61,7.04,8,6,2,23.5,21.4,100.0,0,0,0.0,0.0,0.0,203,2,918,3,8,2,4.52,3.12,45,0.22,3,40,6,19.7,75.0,11,4,5.4,50.0,0,0,201.1,0.39,0.87,20.8,8.9,15.1,8.7,6.3,10.3,11.2,21.2,17.5,11.3,,9.8,,23.1,7.1,1.0,10.2,18.6,7.0,31.0,22.0,40.0,47.0,26.0,25.0,6.0,9.0,24.0,,26.0,,7.0,37.0,78.0,28.0,12.0,107.5
33,16,Michael Carter,NYJ,14,RB,50,36,0,325,0,0,0,5,72.0,0.28,6.5,9.03,9.58,2,2,0,4.0,5.6,0.0,0,0,0.0,0.0,0.0,147,1,639,1,4,0,4.35,3.37,39,0.27,1,25,4,17.0,100.0,9,3,6.1,75.0,0,1,156.4,0.35,0.85,3.0,10.8,4.9,10.4,14.8,,18.4,32.2,9.6,18.2,7.5,,,,3.0,14.4,7.3,1.9,59.0,24.0,48.0,33.0,24.0,,7.0,1.0,35.0,13.0,29.0,,,,63.0,17.0,35.0,70.0,117.0
34,96,James Robinson,JAX,14,RB,44,31,0,222,0,0,0,4,70.5,0.39,5.05,7.16,7.35,2,2,0,4.5,6.5,0.0,0,0,0.0,0.0,0.0,164,1,767,1,8,0,4.68,3.29,28,0.17,4,24,8,14.6,100.0,10,7,6.1,87.5,0,0,177.9,0.34,0.91,8.4,9.4,25.4,20.6,21.7,19.1,,4.9,,18.4,11.8,14.5,4.5,0.4,17.8,1.0,,,38.0,28.0,4.0,8.0,12.0,12.0,,50.0,,12.0,18.0,18.0,41.0,66.0,6.0,78.0,,,117.0
35,48,Alexander Mattison,MIN,16,RB,38,32,0,228,0,1,0,2,84.2,0.18,6.0,7.13,7.44,8,4,1,21.1,12.5,100.0,0,0,0.0,0.0,0.0,134,1,491,2,3,0,3.66,2.79,28,0.21,1,31,3,23.1,100.0,4,1,3.0,33.3,0,1,127.9,0.34,0.77,1.6,3.8,23.1,2.0,28.3,1.0,,2.0,1.3,5.0,0.5,10.8,21.4,2.7,,16.0,5.3,3.1,70.0,53.0,7.0,64.0,6.0,67.0,,68.0,64.0,47.0,73.0,23.0,8.0,51.0,,13.0,44.0,64.0,135.0
36,32,Nyheim Hines,IND,17,RB,53,40,0,310,0,1,0,2,75.5,2.38,5.85,7.75,7.13,6,4,1,11.3,10.0,100.0,0,0,0.0,0.0,0.0,56,0,276,0,2,0,4.93,2.77,14,0.25,1,5,1,8.9,50.0,0,0,0.0,0.0,0,0,116.6,0.33,1.21,14.2,3.2,18.9,3.1,1.8,3.2,2.2,6.4,20.8,4.9,3.1,5.9,8.6,,7.8,2.8,5.8,3.9,20.0,58.0,12.0,57.0,66.0,48.0,53.0,47.0,5.0,48.0,49.0,40.0,29.0,,34.0,64.0,41.0,61.0,140.5
37,135,Raheem Mostert,SF,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,20,0,0,0,10.0,7.5,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2.0,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,144.8
38,10,Kenneth Gainwell,PHI,16,RB,45,33,0,253,0,1,0,5,73.3,2.13,5.62,7.67,6.94,9,7,1,20.0,21.2,100.0,0,0,0.0,0.0,0.0,68,0,291,0,5,0,4.28,2.93,13,0.19,1,12,5,17.6,100.0,3,1,4.4,20.0,1,1,123.4,0.41,1.22,12.3,5.2,6.4,20.9,3.4,1.1,16.1,2.7,6.3,2.4,,6.2,19.7,,0.0,1.6,0.4,18.7,24.0,46.0,42.0,7.0,57.0,66.0,14.0,62.0,42.0,56.0,,39.0,11.0,,79.0,77.0,76.0,11.0,146.8
